From Date,Latitude,Longitude,PM2.5,PM10,NO2,Temp,RH
01/08/2018,28.7500499,77.1112615,48.14,210.13,24.1,31.51,56.54
02/08/2018,28.7500499,77.1112615,63.71,298.48,24.28,32.84,38.98
03/08/2018,28.7500499,77.1112615,70.47,291.24,23.87,32.59,22.63
04/08/2018,28.7500499,77.1112615,58.23,308.24,29.22,32.54,35.96
05/08/2018,28.7500499,77.1112615,50.05,282.07,36.26,31.17,66.06
06/08/2018,28.7500499,77.1112615,37.91,119.4,40.96,28.65,87.29
07/08/2018,28.7500499,77.1112615,31.61,215.39,62.5,29.58,87.17
08/08/2018,28.7500499,77.1112615,32.77,81.38,39.94317307692308,30.53,87.67
09/08/2018,28.7500499,77.1112615,36.34,97.61,39.94317307692308,32.47,69.79
10/08/2018,28.7500499,77.1112615,45.31,129.71,20.46,32.65,73.73
11/08/2018,28.7500499,77.1112615,25.23,110.4,14.01,33.02,73.6
12/08/2018,28.7500499,77.1112615,18.26,89.68,17.07,31.73,72.0
13/08/2018,28.7500499,77.1112615,22.87,381.2,11.86,31.7,69.18
14/08/2018,28.7500499,77.1112615,41.82,115.34,11.55,32.0,76.1
15/08/2018,28.7500499,77.1112615,36.38,118.53,13.02,32.45,72.42
16/08/2018,28.7500499,77.1112615,39.53,94.99,10.6,30.91,85.44
17/08/2018,28.7500499,77.1112615,21.93,60.44,13.37,31.87,84.66
18/08/2018,28.7500499,77.1112615,31.74,74.04,12.28,31.71,82.74
19/08/2018,28.7500499,77.1112615,50.89,104.19,14.41,30.1,94.44
20/08/2018,28.7500499,77.1112615,56.46,111.17,12.92,32.08,77.46
21/08/2018,28.7500499,77.1112615,33.62,94.65,10.31,32.65,70.36
22/08/2018,28.7500499,77.1112615,32.09,90.08,19.57,31.02,86.54
23/08/2018,28.7500499,77.1112615,20.48,55.75,28.27,29.87,95.57
24/08/2018,28.7500499,77.1112615,20.39,90.24,18.07,31.17,84.78
25/08/2018,28.7500499,77.1112615,3.59,81.99,16.06,31.27,78.34
26/08/2018,28.7500499,77.1112615,1.0,73.61,12.15,31.18,78.82
27/08/2018,28.7500499,77.1112615,18.31,45.93,13.04,30.43,89.31
28/08/2018,28.7500499,77.1112615,20.25,39.93,13.65,28.62,95.88
29/08/2018,28.7500499,77.1112615,27.11,62.84,18.74,28.79,95.67
30/08/2018,28.7500499,77.1112615,30.21,82.4,18.46,31.19,87.8
31/08/2018,28.7500499,77.1112615,35.85,147.52,15.18,31.45,86.07
01/09/2018,28.7500499,77.1112615,42.65,108.0,15.58,28.7,95.65
02/09/2018,28.7500499,77.1112615,31.19,59.65,16.86,27.66,95.68
03/09/2018,28.7500499,77.1112615,31.02,54.75,14.02,27.67,95.64
04/09/2018,28.7500499,77.1112615,52.8,93.45,17.09,28.69,94.96
05/09/2018,28.7500499,77.1112615,33.96,92.98,15.12,28.52,94.71
06/09/2018,28.7500499,77.1112615,29.93,110.28,12.48,29.6,83.38
07/09/2018,28.7500499,77.1112615,24.44,56.65,18.99,28.41,93.7
