Month,Latitude,Longitude,PM2.5,PM10,NO2,Temp,RH,Year
2021-01,28.6805,77.3169,149.12032258064514,317.2258064516129,51.37553480475382,12.853225806451611,81.9483870967742,2021
2021-02,28.6805,77.3169,118.96178571428572,286.2682142857143,66.60571428571428,19.1925,63.69678571428572,2021
2021-03,28.6805,77.3169,68.64096774193548,207.7358064516129,49.06161290322581,25.279032258064515,43.14774193548387,2021
2021-04,28.6805,77.3169,72.69833333333332,186.73433333333327,51.083333333333336,29.676,23.24633333333333,2021
2021-05,28.6805,77.3169,45.7141935483871,117.8735448519664,25.7106960950764,29.77354838709677,45.77548387096774,2021
2021-06,28.6805,77.3169,48.04066666666667,182.85266666666664,27.180666666666664,31.663,56.16833333333333,2021
2021-07,28.6805,77.3169,36.979032258064514,109.14193548387097,24.80032258064516,30.746774193548383,70.43612903225807,2021
2021-08,28.6805,77.3169,31.908709677419356,100.61709677419356,37.03677419354839,29.87516129032258,73.68967741935484,2021
2021-09,28.6805,77.3169,32.61633333333334,83.22033333333334,28.884,27.73333333333333,81.65599999999999,2021
2021-10,28.6805,77.3169,92.13548387096772,173.94516129032257,69.49580645161289,26.28161290322581,62.12806451612904,2021
2021-11,28.6805,77.3169,205.8343333333333,400.166,105.18233333333332,19.322333333333333,63.03533333333333,2021
2021-12,28.6805,77.3169,164.00774193548386,349.1003225806452,82.54903225806451,14.88774193548387,68.82903225806452,2021
2021-01,28.7500499,77.1112615,218.83870967741936,276.8454838709677,140.84193548387097,17.700000000000003,78.24225806451612,2021
2021-02,28.7500499,77.1112615,189.03,296.17571428571426,105.28714285714284,22.4425,67.61999999999999,2021
2021-03,28.7500499,77.1112615,120.1483870967742,269.79312844053146,48.025043424317616,27.770967741935483,49.49483870967742,2021
2021-04,28.7500499,77.1112615,101.85754313396684,245.054,59.65233333333333,31.276,30.982666666666667,2021
2021-05,28.7500499,77.1112615,61.54967741935484,148.42290322580644,43.83483870967742,32.506129032258066,46.46,2021
2021-06,28.7500499,77.1112615,57.933,164.143,48.13866666666667,34.11366666666667,53.84166666666667,2021
2021-07,28.7500499,77.1112615,45.53697722641952,109.24032258064516,32.86290322580645,33.4483870967742,66.5441935483871,2021
2021-08,28.7500499,77.1112615,46.08741935483871,107.89290322580644,27.50516129032258,32.7941935483871,70.9483870967742,2021
2021-09,28.7500499,77.1112615,46.39096273523384,66.885,30.732333333333333,31.157666666666668,60.60235567970205,2021
2021-10,28.7500499,77.1112615,91.71330929154873,161.89709677419356,45.064516129032256,28.94516129032258,63.81354838709677,2021
2021-11,28.7500499,77.1112615,238.6952098006335,326.26366666666667,43.462333333333326,23.195666666666668,63.65266666666666,2021
2021-12,28.7500499,77.1112615,222.79064516129037,278.913870967742,34.35062344913152,19.72483870967742,69.1041935483871,2021
2021-01,28.6095,77.033,105.26870967741937,243.3958064516129,22.20870967741936,12.692580645161293,82.71774193548387,2021
2021-02,28.6095,77.033,89.3575,268.4839285714286,34.14214285714286,18.822857142857146,66.12714285714286,2021
2021-03,28.6095,77.033,115.54709677419356,290.0574193548387,30.31903225806452,25.13741935483871,45.37225806451613,2021
2021-04,28.6095,77.033,119.92433333333334,270.9723333333333,34.23266666666667,29.36433333333333,24.81533333333333,2021
2021-05,28.6095,77.033,69.93870967741935,168.5909677419355,20.62967741935484,30.465483870967745,43.32935483870968,2021
2021-06,28.6095,77.033,69.22166666666666,191.27966666666669,19.650666666666663,32.15633333333333,53.04633333333333,2021
2021-07,28.6095,77.033,43.78144666100735,124.80709677419355,19.822903225806453,31.23741935483871,68.49,2021
2021-08,28.6095,77.033,41.88290322580645,96.15935483870967,21.88483870967742,30.47870967741936,72.42806451612903,2021
2021-09,28.6095,77.033,33.12,78.909,21.53666666666667,28.93566666666667,79.30233333333334,2021
2021-10,28.6095,77.033,105.57290322580646,206.46870967741933,42.34774193548387,26.73967741935484,64.1116129032258,2021
2021-11,28.6095,77.033,219.4393333333333,368.96133333333336,66.384,19.768,64.86766666666666,2021
2021-12,28.6095,77.033,173.16,336.9474193548387,43.83322580645161,15.343225806451612,72.02032258064517,2021
2021-01,28.6513,77.1473,90.96548387096772,299.1735483870968,79.82322580645162,12.774516129032255,72.72548387096774,2021
2021-02,28.6513,77.1473,92.47214285714286,303.1625,84.39285714285714,19.254285714285714,52.09964285714285,2021
2021-03,28.6513,77.1473,72.02806451612904,250.48129032258063,75.58483870967743,24.96709677419355,26.706774193548387,2021
2021-04,28.6513,77.1473,68.165,227.40233333333333,46.9,28.93533333333333,18.569666666666667,2021
2021-05,28.6513,77.1473,50.00806451612903,149.4716129032258,28.75483870967742,29.657096774193548,36.63903225806452,2021
2021-06,28.6513,77.1473,46.48,164.7866666666667,23.018,31.331333333333337,48.68633333333333,2021
2021-07,28.6513,77.1473,36.50612903225807,120.51612903225806,13.20258064516129,30.075483870967744,66.00354838709677,2021
2021-08,28.6513,77.1473,38.6,116.34516129032258,22.09,29.44741935483871,69.40290322580645,2021
2021-09,28.6513,77.1473,24.14966666666667,103.78166666666668,21.526333333333334,27.592666666666663,76.55,2021
2021-10,28.6513,77.1473,62.83483870967742,259.19,35.83129032258064,25.82354838709677,58.95677419354839,2021
2021-11,28.6513,77.1473,182.381,463.5726666666667,52.470000000000006,19.83566666666667,53.93666666666666,2021
2021-12,28.6513,77.1473,146.62032258064514,398.7032258064516,61.49709677419355,15.215806451612902,59.23161290322581,2021
2021-01,28.5504,77.2182,194.61064516129036,299.5932258064516,55.15516129032258,15.891290322580645,81.90193548387097,2021
